coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0451,Catastrophic Plan,PR0012,2026-04-25,2029-04-25,Active,B0005,5284.08,431.32,10
C0452,POS,PR0485,2022-03-04,2024-03-04,Inactive,B0002,2232.48,859.66,15
C0453,Emergency Only,PR0294,2026-07-17,2028-07-17,Active,B0001,5289.72,744.59,15
C0454,POS,PR0418,2022-04-06,2023-04-06,Inactive,B0005,4316.16,356.02,10
C0455,Prescription Drugs,PR0198,2025-08-08,2027-08-07,Active,B0005,5657.04,329.56,15
C0456,Catastrophic Plan,PR0342,2026-02-14,2029-02-13,Active,B0004,1278.24,1965.72,20
C0457,Prescription Drugs,PR0318,2026-10-17,2028-10-17,Active,B0009,5131.32,719.6,10
C0458,Emergency Only,PR0014,2022-07-06,2024-07-06,Inactive,B0007,2322.6,986.14,20
C0459,Vision Only,PR0309,2025-05-22,2026-05-21,Inactive,B0001,1445.52,1792.32,25
C0460,Basic Health Plan,PR0322,2023-02-19,2024-02-19,Inactive,B0010,2520.6,1419.63,20
C0461,Basic Health Plan,PR0265,2022-10-22,2025-10-22,Inactive,B0005,4704,553.46,15
C0462,Inpatient Only,PR0249,2024-08-20,2027-08-19,Active,B0003,2583.84,914.11,15
C0463,Prescription Drugs,PR0219,2023-08-06,2026-08-05,Inactive,B0002,4287.72,662.89,15
C0464,POS,PR0450,2024-12-01,2025-12-01,Inactive,B0008,3042.72,642.96,15
C0465,Basic Health Plan,PR0275,2024-08-06,2026-08-05,Inactive,B0002,5546.04,675.28,10
C0466,Basic Health Plan,PR0078,2025-12-05,2028-12-04,Active,B0004,3691.56,468.32,15
C0467,Emergency Only,PR0439,2022-08-08,2025-08-08,Inactive,B0002,1816.8,763.52,15
C0468,Maternity Coverage,PR0272,2024-11-26,2025-11-26,Inactive,B0007,3209.88,741.55,10
C0469,EPO,PR0366,2024-02-14,2025-02-14,Inactive,B0008,4269.24,544.4,10
C0470,POS,PR0432,2026-04-27,2027-04-27,Inactive,B0005,4099.92,339.64,15
C0471,Vision Only,PR0150,2022-09-25,2025-09-25,Inactive,B0004,5553.24,335.69,15
C0472,Mental Health Plan,PR0236,2025-05-21,2028-05-20,Active,B0001,3013.8,375.99,15
C0473,Outpatient Only,PR0104,2022-08-27,2023-08-27,Inactive,B0007,4656.84,474.98,15
C0474,PPO,PR0430,2022-02-24,2023-02-23,Inactive,B0004,4284.36,626.32,15
C0475,Comprehensive Plan,PR0356,2023-11-20,2025-11-20,Inactive,B0001,2429.4,1034.28,15
C0476,HMO,PR0229,2025-04-01,2027-03-31,Inactive,B0010,3768.48,487.13,15
C0477,Prescription Drugs,PR0486,2024-08-09,2027-08-08,Active,B0003,4254.72,678.41,10
C0478,Maternity Coverage,PR0172,2022-06-20,2023-06-20,Inactive,B0005,5625.6,648.23,10
C0479,Catastrophic Plan,PR0053,2023-11-25,2024-11-25,Inactive,B0008,3890.4,639.52,10
C0480,Basic Health Plan,PR0221,2025-02-13,2027-02-12,Inactive,B0002,2505.24,1146.76,15
C0481,EPO,PR0081,2026-11-08,2028-11-08,Active,B0009,4632.24,407.24,15
C0482,Prescription Drugs,PR0412,2024-09-15,2026-09-14,Inactive,B0010,1735.44,1056.07,15
C0483,HMO,PR0145,2022-08-21,2025-08-21,Inactive,B0001,2488.92,1441.74,15
C0484,Catastrophic Plan,PR0006,2025-03-15,2028-03-14,Active,B0002,1828.2,1301.01,20
C0485,Dental Only,PR0459,2025-10-02,2027-10-01,Active,B0001,1230.84,2140.13,30
C0486,PPO,PR0206,2022-10-08,2024-10-08,Inactive,B0006,1591.56,1110.87,15
C0487,Maternity Coverage,PR0334,2025-03-06,2026-03-05,Inactive,B0005,2992.32,791.94,20
C0488,Prescription Drugs,PR0224,2025-05-05,2028-05-04,Active,B0007,3914.88,387.45,15
C0489,Mental Health Plan,PR0431,2026-12-20,2029-12-20,Active,B0004,5129.04,552.02,15
C0490,Basic Health Plan,PR0223,2023-09-16,2024-09-16,Inactive,B0003,5111.52,452.17,15
C0491,Basic Health Plan,PR0200,2023-10-09,2024-10-09,Inactive,B0003,5073.48,347.63,15
C0492,Vision Only,PR0316,2025-08-07,2027-08-06,Active,B0001,4785.72,309.28,10
C0493,POS,PR0162,2022-03-28,2025-03-28,Inactive,B0006,5234.4,703.26,15
C0494,Vision Only,PR0478,2023-11-24,2025-11-24,Inactive,B0004,2726.4,1051.59,20
C0495,Dental Only,PR0183,2026-10-27,2029-10-27,Active,B0004,5200.68,460.71,15
C0496,Catastrophic Plan,PR0457,2026-06-08,2027-06-08,Active,B0008,1861.68,1114.86,20
C0497,Mental Health Plan,PR0071,2026-05-03,2027-05-03,Inactive,B0008,2498.52,1157.04,20
C0498,POS,PR0146,2022-12-07,2023-12-07,Inactive,B0003,1679.28,859.56,20
C0499,Comprehensive Plan,PR0278,2025-07-01,2028-06-30,Active,B0004,4736.16,477.27,10
C0500,EPO,PR0494,2022-10-15,2024-10-15,Inactive,B0007,5047.56,659.98,15
