coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0751,Emergency Only,PR0294,2026-11-23,2028-11-23,Active,B0001,4598.88,369.31,10
C0752,Vision Only,PR0297,2025-10-19,2027-10-18,Active,B0007,4906.8,545.69,15
C0753,Outpatient Only,PR0163,2022-02-13,2024-02-12,Inactive,B0006,4037.04,304.02,15
C0754,Inpatient Only,PR0223,2025-02-13,2026-02-13,Inactive,B0003,2647.08,1041.67,20
C0755,Maternity Coverage,PR0069,2024-01-19,2025-01-19,Inactive,B0008,3265.8,537.9,15
C0756,Catastrophic Plan,PR0441,2025-07-05,2026-07-04,Inactive,B0007,3249.12,452.59,15
C0757,Vision Only,PR0406,2022-04-23,2023-04-23,Inactive,B0010,4129.44,632.55,15
C0758,Catastrophic Plan,PR0423,2026-05-25,2028-05-25,Active,B0008,3636.72,438.23,15
C0759,PPO,PR0472,2026-09-21,2029-09-21,Active,B0009,4651.8,636.9,10
C0760,Maternity Coverage,PR0366,2025-02-12,2027-02-11,Inactive,B0004,5452.68,688.86,10
C0761,Prescription Drugs,PR0449,2025-10-27,2026-10-26,Inactive,B0005,2312.4,1485.06,15
C0762,Mental Health Plan,PR0405,2023-08-14,2025-08-14,Inactive,B0007,2265.12,1129.5,20
C0763,Dental Only,PR0076,2022-02-07,2024-02-06,Inactive,B0009,1326,2504.39,30
C0764,Basic Health Plan,PR0112,2022-06-28,2024-06-28,Inactive,B0002,3562.32,585.05,15
C0765,PPO,PR0235,2025-08-04,2028-08-03,Active,B0003,5468.28,607.61,15
C0766,Basic Health Plan,PR0200,2026-08-24,2029-08-24,Active,B0001,1796.16,1413.39,20
C0767,Prescription Drugs,PR0096,2024-05-04,2027-05-03,Inactive,B0002,1582.32,1076.06,15
C0768,PPO,PR0493,2023-06-26,2024-06-26,Inactive,B0003,3312.96,543.24,10
C0769,Comprehensive Plan,PR0137,2025-01-24,2028-01-23,Active,B0002,5845.08,586.6,10
C0770,Inpatient Only,PR0373,2023-08-19,2024-08-19,Inactive,B0006,1625.88,806.3,20
C0771,Basic Health Plan,PR0148,2022-09-25,2024-09-25,Inactive,B0004,5104.92,741.78,10
C0772,PPO,PR0185,2022-02-26,2025-02-25,Inactive,B0006,1953.12,1146.88,15
C0773,POS,PR0202,2024-10-26,2027-10-25,Active,B0001,5309.52,470.74,15
C0774,Catastrophic Plan,PR0361,2022-08-15,2024-08-15,Inactive,B0009,4177.68,616.11,15
C0775,Catastrophic Plan,PR0181,2023-10-16,2026-10-15,Inactive,B0002,4508.52,324.63,15
C0776,Outpatient Only,PR0471,2023-02-08,2024-02-08,Inactive,B0005,1440.12,2434.9,30
C0777,Basic Health Plan,PR0358,2022-12-14,2024-12-14,Inactive,B0006,5778.84,310.54,10
C0778,PPO,PR0092,2024-01-28,2025-01-28,Inactive,B0008,1368.96,1652.84,20
C0779,Emergency Only,PR0221,2022-11-12,2023-11-12,Inactive,B0001,3854.16,721.66,15
C0780,HMO,PR0098,2024-09-24,2025-09-24,Inactive,B0010,5714.16,524.54,10
C0781,Mental Health Plan,PR0243,2022-07-16,2023-07-16,Inactive,B0008,5262.12,655.93,10
C0782,Catastrophic Plan,PR0078,2025-03-14,2027-03-13,Inactive,B0004,2422.92,798.8,20
C0783,PPO,PR0440,2023-04-01,2024-04-01,Inactive,B0001,2472.24,794.99,15
C0784,Mental Health Plan,PR0458,2025-04-22,2027-04-21,Inactive,B0003,3576.84,567.12,15
C0785,Basic Health Plan,PR0473,2024-11-10,2025-11-10,Inactive,B0009,2552.64,1129.19,15
C0786,Dental Only,PR0039,2022-03-27,2024-03-27,Inactive,B0004,2656.68,807.43,20
C0787,PPO,PR0080,2025-02-28,2028-02-27,Active,B0007,5536.2,697.23,15
C0788,Prescription Drugs,PR0420,2026-09-12,2027-09-12,Active,B0005,1882.08,1434.69,15
C0789,Vision Only,PR0334,2026-03-20,2029-03-20,Active,B0005,2584.2,1129.95,20
C0790,Mental Health Plan,PR0139,2022-09-18,2023-09-18,Inactive,B0004,1547.16,927.75,20
C0791,Catastrophic Plan,PR0470,2025-09-11,2026-09-10,Inactive,B0008,1652.28,1045.16,15
C0792,Maternity Coverage,PR0190,2026-08-11,2028-08-11,Active,B0001,2177.52,1301.22,20
C0793,Catastrophic Plan,PR0237,2023-07-13,2025-07-13,Inactive,B0007,3703.44,313.15,10
C0794,Dental Only,PR0365,2025-12-05,2027-12-04,Active,B0008,4338.72,449.07,10
C0795,Comprehensive Plan,PR0365,2024-05-22,2027-05-21,Active,B0009,4745.04,596.9,10
C0796,Basic Health Plan,PR0125,2026-01-02,2029-01-01,Active,B0006,4381.8,487.15,10
C0797,Basic Health Plan,PR0241,2025-12-26,2028-12-25,Active,B0006,3128.52,378.46,15
C0798,Outpatient Only,PR0363,2026-08-11,2027-08-11,Active,B0002,5006.52,684.65,15
C0799,Prescription Drugs,PR0292,2023-03-05,2025-03-05,Inactive,B0006,1580.28,1108.9,20
C0800,HMO,PR0414,2024-01-09,2027-01-08,Inactive,B0006,4343.64,406.82,10
